
lat,lon,name,class,mass,year
-11.34133,17.17493,Boumdeid,L6,3599,2011
64.60035,39.77978,Bukhara,CV3,5300,2001
129.19,-31.35,Bunburra Rockhole,Eucrite,324,2007
-109.84817,52.996,Buzzard Coulee,H4,41000,2008
-76.51,3.405,Cali,H/L4,478,2007
61.11667,54.81667,Chelyabinsk,LL5,100000,2013
-5.01472,23.69639,Chergach,H5,100000,2007
-79.95756,-1.87089,Daule,L5,6580,2008
93.86667,26.68333,Dergaon,H5,12500,2001
81,19],Devgaon,H3.8,12000,2001
27.32997,37.35172,Didim,H3-5,3396,2007
-2.04167,14.15083,Gasseltepaoua,H5,525,2000
-79.61667,43.2,Grimsby,H5,215,2009
132.38333,34.45,Hiroshima,H5,414,2003
31.47278,1.345,H6,167.7,2003
106.63241,26.46469,Huaxi,H5,1600,2010
14.05217,46.42137,Jesenice,L6,3667,2009
70.31333,22.68,Jodiya,L5,100,2006
73.22329,20.33916,Kaprada,L5/6,1600,2004
77.58333,29.58333,Kasauli,H4,16820,2003
75.81333,25.14333,Kavarpura,Iron, IIE-an,6800,2006
29.41822,36.54194,Kemer,L4,5760,2008
86.70278,20.4625,Kendrapara,H4-5,6669.2,2003
9.8,12.76667,Kilabo,LL6,19000,2002
21.17633,48.76367,Košice,H5,4300,2010
-77.21163,38.70066,Lorton,L6329.7,:2010
95.78333,27.66667,Mahadevpur,H4/5,70500,2007
9.38333,12.83333,Maigatari-Danduma,H5/6,4629,2004
11.46745,54.76183,Maribo,CM2,25.81,2009
48.1,-14.2,Maromandia,L6,6000,2002
0,0,Mason Gully,H5,24.54,2010
-90.36556,42.9075,Mifflin,L5,3584,2010
18.53333,49.6,Morávka,H5,633,2000
10.7,59.43333,Moss,CO3.6,3763,2006
10.80833,47.525,Neuschwanstein,EL6,6189,2002
-90.10976,29.94718,New Orleans,H5,19256,2003
-81.36222,28.5475,Orlando,Eucrite,180,2004
0.08,12.9,Ouadangou,L5,4440,2003
-13.1,24.3,Oum Dreyga,H3-5,17000,2003
-87.67917,41.48472,Park Forest,L5,18000,2003
26.70972,45.275,Pleşcoi,L5-6,6913,2008
-3.51667,39.35,Puerto Lápice,Eucrite-br,500,2007
-119.75812,38.13742],Red Canyon Lake,H5,18.41,2007
13,43.66667,San Michele,L6,237,2002
-68.48944,-31.53556,Santa Lucia (2008),L6,4000,2008
22.005,54.00883,Sołtmany,L6,066,2011
78.03333,12.66667,Sulagiri,LL6,110000,2008
-120.90806,38.80389,Sutter's Mill,C,992.5,2012
-134.20139,59.70444,Tagish Lak,C2-ung,10000,2000
-7.015,31.16333,Tamdakht,H5,100000,2008
37.15028,-1.00278,Thika,L6,14200,2011
27.58333,-29.33333,Thuathe,H4/5,45300,2002
-7.61123,29.48195,Tissint,Martian (shergottite),7000,2011
-41.73356,-20.85001,Varre-Sai,L5,2500,2010
-4.66667,42.8,Villalbeto de la Peña,L6,3500,2004
21.78713,32.79732,Werdama,H5,4000,2006
-110.43418,31.96185,Whetstone Mountains,H5,2138.7399999999998,2009
45.17,13.71111,Yafa,H5,5700,2000
